DEBUG 2014-11-29 22:55:12,946 [1    ] Abp.Modules.AbpModuleManager             - Loading Abp modules...
DEBUG 2014-11-29 22:55:13,370 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Abp, Version=0.4.3.1, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,379 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,379 [1    ] Abp.Modules.DefaultModuleFinder          - - Abp.AbpCoreModule
DEBUG 2014-11-29 22:55:13,379 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Abp.EntityFramework, Version=0.4.3.1, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,381 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,381 [1    ] Abp.Modules.DefaultModuleFinder          - - Abp.EntityFramework.AbpEntityFrameworkModule
DEBUG 2014-11-29 22:55:13,381 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Abp.Web.Api, Version=0.4.3.1, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,387 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,387 [1    ] Abp.Modules.DefaultModuleFinder          - - Abp.WebApi.AbpWebApiModule
DEBUG 2014-11-29 22:55:13,387 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Abp.Web, Version=0.4.3.1, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,387 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,387 [1    ] Abp.Modules.DefaultModuleFinder          - - Abp.Web.AbpWebModule
DEBUG 2014-11-29 22:55:13,387 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Abp.Web.Mvc, Version=0.4.3.1, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,389 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,389 [1    ] Abp.Modules.DefaultModuleFinder          - - Abp.Web.Mvc.AbpWebMvcModule
DEBUG 2014-11-29 22:55:13,389 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Antlr3.Runtime, Version=3.5.0.2, Culture=neutral, PublicKeyToken=eb42632606e9261f
DEBUG 2014-11-29 22:55:13,394 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: AutoMapper, Version=3.2.1.0, Culture=neutral, PublicKeyToken=be96cd2c38ef1005
DEBUG 2014-11-29 22:55:13,402 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: AutoMapper.Net4, Version=3.2.1.0, Culture=neutral, PublicKeyToken=be96cd2c38ef1005
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: breederhub.Application, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - - breederhub.breederhubApplicationModule
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: breederhub.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - - breederhub.breederhubCoreModule
DEBUG 2014-11-29 22:55:13,403 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: breederhub.EntityFramework, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,404 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,404 [1    ] Abp.Modules.DefaultModuleFinder          - - breederhub.breederhubDataModule
DEBUG 2014-11-29 22:55:13,404 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: breederhub.Web, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,405 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,405 [1    ] Abp.Modules.DefaultModuleFinder          - - breederhub.Web.breederhubWebModule
DEBUG 2014-11-29 22:55:13,405 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: breederhub.WebApi, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
DEBUG 2014-11-29 22:55:13,405 [1    ] Abp.Modules.DefaultModuleFinder          - Found modules:
DEBUG 2014-11-29 22:55:13,405 [1    ] Abp.Modules.DefaultModuleFinder          - - breederhub.breederhubWebApiModule
DEBUG 2014-11-29 22:55:13,405 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Castle.Core, Version=3.3.0.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc
DEBUG 2014-11-29 22:55:13,430 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Castle.Facilities.Logging, Version=3.3.0.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc
DEBUG 2014-11-29 22:55:13,430 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Castle.Services.Logging.Log4netIntegration, Version=3.3.0.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc
DEBUG 2014-11-29 22:55:13,430 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: Castle.Windsor, Version=3.3.0.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc
DEBUG 2014-11-29 22:55:13,437 [1    ] Abp.Modules.DefaultModuleFinder          - Searching ABP modules in assembly: EntityFramework, Version=6.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089
